"Référence","Désignation","site dafy","site chaft","Prix H.T.","Prix T.T.C.","Réel","Réservé","Dispo","P","Cde four.","Casier","Fournisseur","Couleur","Marque","Taille","Réf Fournisseur","Code TVA","Condi.achat","Nomenclature.associée","Code barre","Remplacement","Année","Dernier achat","Dernière vente","Rayon","Sous-rayon","Catégorie","Prix achat bloqué","Prix vente bloqué","Sur internet"
"098452699901","CHAFT AD LEF02+LEE25 UL924","KO","https://www.chaft.fr/fr/nouveautes/1393-adaptateurs-lef02-lee25.html?search_query=ul924&results=1","225.00 Dh","270.00 Dh","000003","0.00","000003","","000000","","CHAFT","","CHAFT","","UL924","020.0 %","0.00","","0984526999010","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098453199901","CHAFT AD LEF04+LEE03 UL929","KO","https://www.chaft.fr/fr/nouveautes/1433-adaptateurs-lef04-lee03.html?search_query=ul929&results=1","225.00 Dh","270.00 Dh","000004","0.00","000004","","000000","","CHAFT","","CHAFT","","UL929","020.0 %","0.00","","0984531999012","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098453299901","CHAFT AD LEF04+LEE07 UL930","KO","https://www.chaft.fr/fr/nouveautes/1451-adaptateurs-lef04-lee07.html?search_query=ul930&results=1","225.00 Dh","270.00 Dh","000003","0.00","000003","","000000","","CHAFT","","CHAFT","","UL930","020.0 %","0.00","","0984532999011","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098453399901","CHAFT AD LEF05+LEE08 UL931","KO","https://www.chaft.fr/fr/nouveautes/1369-adaptateurs-lef05-lee08.html?search_query=ul931&results=1","225.00 Dh","270.00 Dh","000004","0.00","000004","","000000","","CHAFT","","CHAFT","","UL931","020.0 %","0.00","","0984533999010","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098453599901","CHAFT AD LEF07+LEE11 UL933","KO","https://www.chaft.fr/fr/nouveautes/1445-adaptateurs-lef07-lee11.html?search_query=ul933&results=1","225.00 Dh","270.00 Dh","000005","0.00","000005","","000000","","CHAFT","","CHAFT","","UL933","020.0 %","0.00","","0984535999018","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098456699901","CHAFT AD LEF19+LEE23 UL965","KO","https://www.chaft.fr/fr/nouveautes/1410-adaptateurs-lef19-lee23.html?search_query=ul965&results=1","225.00 Dh","270.00 Dh","000003","0.00","000003","","000000","","CHAFT","","CHAFT","","UL965","020.0 %","0.00","","0984566999018","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098456999901","CHAFT AD LEF20+LEE02 UL968","KO","https://www.chaft.fr/fr/nouveautes/1386-adaptateurs-lef20-lee02.html?search_query=ul968&results=1","225.00 Dh","270.00 Dh","000010","0.00","000010","","000000","","CHAFT","","CHAFT","","UL968","020.0 %","0.00","","0984569999015","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098458399901","CHAFT AD LEF26+LEE34 UL982","KO","https://www.chaft.fr/fr/nouveautes/1463-adaptateurs-lef26-lee34.html?search_query=ul982&results=1","225.00 Dh","270.00 Dh","000002","0.00","000002","","000000","","CHAFT","","CHAFT","","UL982","020.0 %","0.00","","0984583999015","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098446499901","CHAFT ADAPT LEV EMB LEE02N","KO","https://www.chaft.fr/fr/nouveautes/1380-adaptateur-de-levier-dembrayage-02-3701177271022.html","150.00 Dh","180.00 Dh","000003","0.00","000003","","000000","","CHAFT","","CHAFT","","LEE02N","020.0 %","0.00","","3701177271022","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098446699901","CHAFT ADAPT LEV EMB LEE07N","KO","https://www.chaft.fr/fr/nouveautes/1446-adaptateur-de-levier-dembrayage-07-3701177271077.html?search_query=lee07n&results=1","150.00 Dh","180.00 Dh","000003","0.00","000003","","000000","","CHAFT","","CHAFT","","LEE07N","020.0 %","0.00","","3701177271077","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098446899901","CHAFT ADAPT LEV EMB LEE09N","KO","https://www.chaft.fr/fr/nouveautes/1409-adaptateur-de-levier-dembrayage-09-3701177271091.html?search_query=lee09n&results=1","150.00 Dh","180.00 Dh","000001","0.00","000001","","000000","","CHAFT","","CHAFT","","LEE09N","020.0 %","0.00","","3701177271091","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098446999901","CHAFT ADAPT LEV EMB LEE10N","KO","https://www.chaft.fr/fr/nouveautes/1432-adaptateur-de-levier-dembrayage-10-3701177271107.html?search_query=lee10n&results=1","150.00 Dh","180.00 Dh","000002","0.00","000002","","000000","","CHAFT","","CHAFT","","LEE10N","020.0 %","0.00","","3701177271107","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098447099901","CHAFT ADAPT LEV EMB LEE11N","KO","https://www.chaft.fr/fr/nouveautes/1402-adaptateur-de-levier-dembrayage-11-3701177271114.html?search_query=lee11n&results=1","150.00 Dh","180.00 Dh","000010","0.00","000010","","000000","","CHAFT","","CHAFT","","LEE11N","020.0 %","0.00","","3701177271114","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098447399901","CHAFT ADAPT LEV EMB LEE14N","KO","https://www.chaft.fr/fr/nouveautes/1419-adaptateur-de-levier-dembrayage-14-3701177271145.html?search_query=lee14n&results=1","150.00 Dh","180.00 Dh","000002","0.00","000002","","000000","","CHAFT","","CHAFT","","LEE14N","020.0 %","0.00","","3701177271145","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098448099901","CHAFT ADAPT LEV EMB LEE21N","KO","https://www.chaft.fr/fr/nouveautes/1381-adaptateur-de-levier-dembrayage-21-3701177271213.html?search_query=lee21n&results=1","150.00 Dh","180.00 Dh","000003","0.00","000003","","000000","","CHAFT","","CHAFT","","LEE21N","020.0 %","0.00","","3701177271213","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098448399901","CHAFT ADAPT LEV EMB LEE25N","KO","https://www.chaft.fr/fr/nouveautes/1370-adaptateur-de-levier-dembrayage-25-3701177271251.html?search_query=lee25n&results=1","150.00 Dh","180.00 Dh","000010","0.00","000010","","000000","","CHAFT","","CHAFT","","LEE25N","020.0 %","0.00","","3701177271251","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098448499901","CHAFT ADAPT LEV EMB LEE26N","KO","https://www.chaft.fr/fr/nouveautes/1421-adaptateur-de-levier-dembrayage-26-3701177271268.html?search_query=lee26n&results=1","150.00 Dh","180.00 Dh","000004","0.00","000004","","000000","","CHAFT","","CHAFT","","LEE26N","020.0 %","0.00","","3701177271268","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
