"Rayon","Sous-rayon","Catégorie","Code barre","Réf Fournisseur","Référence","Désignation","LIEN DAFY.COM","Marque","Fournisseur","Prix H.T.","Prix T.T.C.","Réel","Réservé","Dispo","P","Cde four.","Casier","Couleur","Taille","Code TVA","Condi.achat","Nomenclature.associée","Remplacement","Année","Dernier achat","Dernière vente","Prix achat bloqué","Prix vente bloqué","Sur internet"
"LUBRIFIANTS","CARBURANT","DIVERS","3760085540620","ECO10000E2","ECO10000E2"," ECO 10000 E 250ML  ESSENCE","KO","MECARUN","HI TEC INTERNATIONAL","208.33 Dh","250.00 Dh","000003","0.00","000003","","000000","","","","020.0 %","0.00","","","","8/29/2020","","Oui","Oui",""
"PIECES DE RECHANGE","BOUGIE","BOUGIE","3000124384311","LB10E","LB10E","1 ANTIPARASITE NGK","KO","","FRANCE EQUIPEMENT","33.33 Dh","40.00 Dh","000002","0.00","000002","","000000","","","","020.0 %","0.00","","","","5/26/2020","","Oui","Oui",""
"PIECES DE RECHANGE","BOUGIE","BOUGIE","3000124384335","LB05E","LB05E","1 ANTIPARASITE NGK.LB05E","https://www.dafy-moto.com/anti-parasite-lb05e-ngk.html","NGK","FRANCE EQUIPEMENT","33.33 Dh","40.00 Dh","000002","0.00","000002","","000000","","","","020.0 %","0.00","","","","5/26/2020","","Oui","Oui",""
"PIECES DE RECHANGE","BOUGIE","BOUGIE","3000124384328","LB05EMHR","LB05EMHR","1 ANTIPARASITE NGK.LB05EMH-R","KO","NGK","FRANCE EQUIPEMENT","91.67 Dh","110.00 Dh","000002","0.00","000002","","000000","","","","020.0 %","0.00","","","","5/26/2020","","Oui","Oui",""
"PIECES DE RECHANGE","BOUGIE","BOUGIE","3000124384410","LD05EH","LD05EH","1 ANTIPARASITE NGK.LD05EH","KO","NGK","FRANCE EQUIPEMENT","66.67 Dh","80.00 Dh","000004","0.00","000004","","000000","","","","020.0 %","0.00","","","","5/26/2020","","Oui","Oui",""
"PIECES DE RECHANGE","BOUGIE","BOUGIE","3000124384403","BR8HSA","BR8HSA","1 BOUGIE NGK.BR8HSA ","https://www.dafy-moto.com/bougie-br8hsa-ngk.html","NGK","FRANCE EQUIPEMENT","33.33 Dh","40.00 Dh","000006","0.00","000006","","000000","","","","020.0 %","0.00","","","","5/26/2020","","Oui","Oui",""
"PIECES DE RECHANGE","BOUGIE","BOUGIE","3000124384281","CR7E","CR7E","1 BOUGIE NGK.CR7E ","https://www.dafy-moto.com/bougie-cr7e-ngk.html","NGK","FRANCE EQUIPEMENT","70.83 Dh","85.00 Dh","000010","0.00","000010","","000000","","","","020.0 %","0.00","","","","5/26/2020","","Oui","Oui",""
"PIECES DE RECHANGE","BOUGIE","BOUGIE","3000124384397","CR7EKB","CR7EKB","1 BOUGIE NGK.CR7EKB","https://www.dafy-moto.com/bougie-cr7ekb-ngk.html","NGK","FRANCE EQUIPEMENT","95.83 Dh","115.00 Dh","000010","0.00","000010","","000000","","","","020.0 %","0.00","","","","5/26/2020","","Oui","Oui",""
"PIECES DE RECHANGE","BOUGIE","BOUGIE","3000124384298","CR7HSA","CR7HSA","1 BOUGIE NGK.CR7HSA","https://www.dafy-moto.com/bougie-cr7hsa-ngk.html","NGK","FRANCE EQUIPEMENT","33.33 Dh","40.00 Dh","000002","0.00","000002","","000000","","","","020.0 %","0.00","","","","5/26/2020","","Oui","Oui",""
"PIECES DE RECHANGE","BOUGIE","BOUGIE","3000124384366","CR8E","CR8E","1 BOUGIE NGK.CR8E","https://www.dafy-moto.com/bougie-cr8e-ngk.html","NGK","FRANCE EQUIPEMENT","70.83 Dh","85.00 Dh","000006","0.00","000006","","000000","","","","020.0 %","0.00","","","","5/26/2020","","Oui","Oui",""
